HUC_8,latitude,longitude,Total phosphorus concentration in soil (ppm),Mehlich-3 (M3) phosphorus concentration in soil (ppm),Soil Fertility Level
16060012,38.5014,-116.00434,578,105.426045668751,Excessive
16060013,37.5174,-117.16855,790,204.129388838189,Excessive
16060014,37.595,-115.365566666667,660,136.170744984277,Excessive
16060015,36.03342,-115.6525,756,185.981016724774,Excessive
17010101,48.6161333333333,-115.311566666667,533.333333333333,88.0756001546885,Excessive
17010103,48.7846,-116.0026,710,157.329727250885,Excessive
17010104,48.611,-116.39525,690,155.902515035842,Excessive
17010201,46.3872,-112.82924,850,245.939322649136,Excessive
17010202,46.4095,-113.5134,990,300.364632002179,Excessive
17010203,46.9775333333333,-113.065333333333,533.333333333333,87.5725851625822,Excessive
17010204,46.99955,-114.46355,1442.5,543.171122863527,Excessive
17010205,46.2300714285714,-114.0468,704.285714285714,178.514287536923,Excessive
17010206,48.7535,-114.3098,1400,521.773824180389,Excessive
17010207,48.6509,-113.8393,630,120.90183207821,Excessive
17010208,48.1292,-114.0905,640,125.285871397677,Excessive
17010209,48.2502,-113.7925,1650,655.220208046247,Excessive
17010210,48.32785,-114.59085,1215,421.783027235908,Excessive
17010211,47.5229,-113.6992,540,88.4106560636438,Excessive
17010213,47.65804,-115.07828,1028,329.56877300565,Excessive
17010214,48.31945,-116.5426,2260,959.474122140865,Excessive
17010216,48.5708666666667,-117.251233333333,1880,769.438950419946,Excessive
17010302,47.4853,-116.0632,3140,1410.35466322677,Excessive
17010304,47.2385333333333,-115.7835,2206.66666666667,915.578905958351,Excessive
17010306,47.48715,-117.3101,1105,363.494380544833,Excessive
17010307,47.9009,-118.3062,750,176.553045399649,Excessive
17010308,47.8952,-117.1234,600,108.080858361339,Excessive
17020001,48.0331333333333,-118.5074,716.666666666667,167.164219780269,Excessive
17020002,48.8487,-118.9846,1000,305.711165894878,Excessive
17020003,48.4752,-117.7275,440,50.0437297093775,Excessive
17020004,48.59895,-118.82815,980,307.543074092162,Excessive
17020005,48.02845,-119.59015,1130,376.645160586207,Excessive
17020006,48.6577666666667,-119.599433333333,840,222.233768574008,Excessive
17020007,48.7372,-119.6685,1380,511.004509588106,Excessive
17020008,48.49336,-120.35844,1236,433.845742025589,Excessive
17020009,47.8748,-120.2622,920,263.221437457967,Excessive
17020010,47.2291,-120.0119,440,50.0437297093775,Excessive
17020011,47.6728666666667,-120.8162,573.333333333333,99.9848775643712,Excessive
17020012,47.4609,-119.874,730,166.868304389889,Excessive
17020013,47.5098,-118.70335,1297.5,465.105062360726,Excessive
17020014,47.4529,-119.253,1180,402.835857993497,Excessive
17020015,47.0029666666667,-119.608066666667,1033.33333333333,328.665241639508,Excessive
17020016,46.57638,-119.20974,968,303.502108494988,Excessive
17030001,47.015,-120.7162,1310,473.225663028037,Excessive
17030002,46.86265,-121.1528,2025,848.202194827659,Excessive
17030003,46.452625,-120.170925,1017.5,316.236358154791,Excessive
17040101,43.8546666666667,-110.526566666667,950,279.917131364699,Excessive
17040102,43.6075,-110.4042,1300,467.819197329888,Excessive
17040103,43.2629333333333,-110.547933333333,1246.66666666667,438.931187099772,Excessive
17040104,43.1721,-111.3576,1350,494.828987980895,Excessive
17040105,42.8847,-110.9835,1180,402.835857993497,Excessive
17040201,43.8076,-112.05625,925,267.549405202688,Excessive
17040203,44.04835,-111.2222,510,134.467190673175,Excessive
17040204,43.8034,-111.5152,1120,370.344989080889,Excessive
17040206,43.1795,-112.6342,931.666666666667,295.775174750264,Excessive
17040207,43.03015,-111.6965,1485,564.431148399001,Excessive
17040208,42.632,-112.0375,980,295.026811848112,Excessive
17040209,42.72186,-113.47476,842,236.113713551407,Excessive
17040210,42.2811,-113.4723,860,231.919499741968,Excessive
17040211,42.2359,-113.8566,440,50.0437297093775,Excessive
17040212,42.32305,-114.6168,800,201.33927921563,Excessive
17040213,42.2185333333333,-114.900666666667,1340,485.305740892816,Excessive
17040214,44.20265,-112.0386,595,122.795707886114,Excessive
17040216,44.2517333333333,-113.0303,780,199.534056432373,Excessive
17040218,43.895675,-113.348,1135,397.27464388341,Excessive
17040219,43.13565,-114.57265,690,175.974377555044,Excessive
17040220,43.2916,-115.2887,390,36.2343111478574,Optimum
17040221,42.9189666666667,-114.413333333333,930,270.546285635389,Excessive
17050101,42.9407,-115.5304,1110,364.936050732745,Excessive
17050102,42.4261125,-115.6867125,807.5,206.337088722001,Excessive
17050103,43.2844,-116.773866666667,966.666666666667,300.420505696397,Excessive
17050104,42.0559,-115.99745,925,278.664348337329,Excessive
17050105,41.6001,-116.2189,530,80.3452199475923,Excessive
17050106,41.9053666666667,-117.153,876.666666666667,243.509933578628,Excessive
17050107,42.52415,-117.49325,565,94.0135045340506,Excessive
17050108,42.8926,-116.8733,1690,676.353011576482,Excessive
17050109,42.6662,-117.767633333333,666.666666666667,144.389159108425,Excessive
17050110,43.36195,-117.640125,750,185.262090286456,Excessive
17050111,43.7577,-115.2331,420,44.2450369748607,Optimum
17050112,43.7819,-115.9746,1220,424.50961726108,Excessive
17050113,43.58525,-115.1955,925,278.664348337329,Excessive
17050114,43.58965,-116.42205,565,94.0135045340506,Excessive
17050116,43.8244,-118.450416666667,1450,546.466306364546,Excessive
17050117,43.91225,-117.51155,500,126.668340727091,Excessive
17050122,44.044,-116.8747,490,66.0659223835927,Excessive
17050123,44.35495,-115.9818,1565,609.092015780242,Excessive
17050124,44.6731,-116.8642,2260,971.269228182414,Excessive
17050201,44.8088,-117.0317,710,157.64795891152,Excessive
17050202,44.4642,-118.16415,700,152.702024178787,Excessive
17050203,44.910525,-117.617675,937.5,288.787921580899,Excessive
17060102,45.4091,-116.8973,1270,451.588494747313,Excessive
17060103,46.1206333333333,-117.022166666667,903.333333333333,259.902179243669,Excessive
17060104,45.6735,-118.0233,2175,927.465221626793,Excessive
17060105,45.4253,-117.2963,960,284.379954609956,Excessive
17060106,45.8692666666667,-117.451133333333,1740,701.064150227843,Excessive
17060107,46.5257,-117.7661,940,273.776155295031,Excessive
17060108,46.82098,-117.51852,892,256.135323960221,Excessive
17060109,47.1207,-117.9805,860,231.919499741968,Excessive
17060110,46.3298,-118.7072,870,237.093387065707,Excessive
17060201,44.12565,-114.582675,837.5,265.183891510144,Excessive
17060203,45.21918,-114.12098,638,130.858633512805,Excessive
17060204,44.8118666666667,-113.6298,656.666666666667,137.68194270759,Excessive
17060205,44.412,-115.18815,515,75.0844780151074,Excessive
17060206,44.8468,-114.4642,740,171.693180500764,Excessive
17060207,45.3191,-114.6361,540,84.1030336466222,Excessive
17060208,44.8479666666667,-115.757333333333,646.666666666667,146.722718925083,Excessive
17060209,45.8259,-116.2483,1780,723.677170236864,Excessive
17060210,45.1404,-116.297466666667,933.333333333333,273.51357233674,Excessive
17060303,46.34055,-115.3129,1025,326.093537108424,Excessive
17060305,45.8463333333333,-115.944933333333,1006.66666666667,309.897906960693,Excessive
17060306,46.594525,-116.255925,1070,346.673835055254,Excessive
17060308,46.6285,-115.7998,1365,502.875948024313,Excessive
17070101,45.9632,-120.4338,1310,473.225663028037,Excessive
17070102,46.16585,-118.03925,895,269.016586611773,Excessive
17070103,45.6700666666667,-118.87,786.666666666667,215.213926903852,Excessive
17070104,45.4767,-119.79065,940,274.173695661773,Excessive
17070105,45.72852,-121.47294,1120,370.630816356699,Excessive
17070106,45.83,-121.0832,1240,435.344228185722,Excessive
17070201,44.5294666666667,-119.575266666667,843.333333333333,223.427650019358,Excessive
17070202,44.901775,-118.9348,597.5,109.753707405998,Excessive
17070203,44.8652,-119.076,740,171.693180500764,Excessive
17070204,45.2473333333333,-120.1574,720,162.449268733459,Excessive
17070301,44.2271,-121.553125,1275,453.877759139803,Excessive
17070302,43.5401,-121.55145,500,101.176581746336,Excessive
17070303,43.7178,-120.4947,570,95.7970318208061,Excessive
17070305,44.013,-120.809183333333,705,158.533447189708,Excessive
17070306,44.9978666666667,-121.056633333333,843.333333333333,225.148095920388,Excessive
17070307,44.7209,-121.0452,960,284.379954609956,Excessive
17080001,45.4513,-122.194,660,145.085093967027,Excessive
17080003,46.0392,-122.856,920,263.221437457967,Excessive
17080004,46.4182,-121.75125,655,132.260915215629,Excessive
17080005,46.4464,-122.59085,1195,411.982699647986,Excessive
17080006,46.1254,-123.4681,2530,1107.63562819953,Excessive
17090001,43.85455,-122.59135,990,305.984267725714,Excessive
17090002,43.5776,-122.9432,960,284.379954609956,Excessive
17090003,44.2349,-123.0599,1600,628.717294056022,Excessive
17090004,44.1996,-122.5006,920,267.26726913389,Excessive
17090005,44.6824,-121.9573,1290,462.410746972833,Excessive
17090006,44.5394,-122.8913,1140,381.16951978865,Excessive
17090008,45.166,-123.3844,1523.33333333333,580.398122006592,Excessive
17090009,45.12125,-122.51835,910,259.250007863963,Excessive
17100101,48.0087333333333,-124.247133333333,1110,371.515975357333,Excessive
17100102,47.5433,-124.2195,450,53.0768008683465,Excessive
17100103,46.7884333333333,-122.947466666667,876.666666666667,290.19726114934,Excessive
17100105,46.8989,-123.9962,1190,408.254273103468,Excessive
17100106,46.6455,-123.6614,1390,516.390663021487,Excessive
17100202,46.0141,-123.5608,840,221.631511429914,Excessive
17100203,45.353,-123.81685,1280,456.887235677092,Excessive
17100204,44.8708,-123.9233,380,33.7515272869714,Medium
17100205,44.2417,-123.9529,3500,1586.5485445657,Excessive
17100206,44.1180666666667,-123.6667,573.333333333333,141.127992095906,Excessive
17100301,43.4107,-122.6077,1070,343.331326481512,Excessive
17100302,43.02426,-123.11606,634,141.042130248787,Excessive
17100303,43.5234,-123.2146,680,143.324088847347,Excessive
17100305,42.969,-123.8202,1020,316.427891581578,Excessive
17100306,42.8445333333333,-124.376133333333,783.333333333333,192.999210729848,Excessive
17100308,42.3615,-123.08295,765,187.26810660833,Excessive
