Techs,Additive + Standarization,Additive + MinMax,Additive + Target,Geometric + Standarization,Geometric + MinMax,Geometric + Target,Harmonic + Standarization,Harmonic + MinMax,Harmonic + Target
OSTARA,0.9641519495079283,0.9606980407953039,0.7376420258750864,0.9662801462146565,0.9606593408136304,0.8528464514759476,0.965444939508253,0.9506676661857614,0.9190536508518504
MULTIFORM,0.9974568898766893,0.9938063688582004,0.891655795261358,1.0,1.0,0.9459782208331273,1.0,1.0,0.9764120728476398
NURESYS,1.0,1.0,1.0,0.991993461316432,0.9870732687990447,1.0,0.9815243757583371,0.9536081126135808,1.0
CRYSTALACTOR,0.9735397494467183,0.9700128160502185,0.7859530533184909,0.9753854461086964,0.9712641275053343,0.8806467833901325,0.9740727500631219,0.9630077125862806,0.9336045710698144
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPHEX,0.6005783759154563,0.5447176283040719,0.11944116219534999,0.5154055948085495,0.47028907558283944,0.27180585137315766,0.5151623788919217,0.417114787812962,0.4102813284115481
