Techs,Additive + Standarization,Additive + MinMax,Additive + Target,Geometric + Standarization,Geometric + MinMax,Geometric + Target,Harmonic + Standarization,Harmonic + MinMax,Harmonic + Target
OSTARA,0.8612776056152125,0.8631821955742556,0.6641344350126918,0.8331809430404985,0.8091822649078859,0.7243080695238754,0.7930216615709572,0.6993001837658306,0.6916228628498282
MULTIFORM,0.9611842344238238,0.9615826389582485,0.8810252383466155,0.9658504397533313,0.963588417305974,0.9270731816719132,0.9722301220219032,0.967492554831386,0.9445508055727266
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CRYSTALACTOR,0.8757537350237024,0.8773534194760336,0.7131145515952683,0.849996616518602,0.8291522380238779,0.7565163623237712,0.8138587278094983,0.7325684652877401,0.7171724182243515
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPHEX,0.3590427325767394,0.35106529807096953,0.15840414990706078,0.3481176701756626,0.31346720801915945,0.27996090191240525,0.39493486714975723,0.27949740878507706,0.32299396406787606
