Techs,Additive + Standarization,Additive + MinMax,Additive + Target,Geometric + Standarization,Geometric + MinMax,Geometric + Target,Harmonic + Standarization,Harmonic + MinMax,Harmonic + Target
OSTARA,0.7686221441527153,0.763973535436904,0.6374658965945841,0.7517292073579093,0.7043917312734742,0.6634696125706477,0.7206252512717599,0.601178536297297,0.6321219289308293
MULTIFORM,0.9449008606768867,0.9423747373890736,0.8771738045003287,0.9601765194490716,0.957398348575309,0.9154843360292594,0.9748467998219787,0.9825347767319589,0.9370029981522559
NURESYS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CRYSTALACTOR,0.7907529394495616,0.7862275319374576,0.6866884761294907,0.7743869048077604,0.7325483817536015,0.6977929823308142,0.7457660931715164,0.641647677829488,0.6587622891378305
PROC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAPHEX,0.5428640338359112,0.5063809888110177,0.17261482933213437,0.49231797938326327,0.4090443070729284,0.2701173582507555,0.49750231869022254,0.3342492730552921,0.32574594477905977
