,Additive + MinMax,Additive + Standarization,Additive + Target,Geometric + MinMax,Geometric + Standarization,Geometric + Target,Harmonic + MinMax,Harmonic + Standarization,Harmonic + Target
MULTIFORM,0.9575273766047343,0.958451612837507,0.8799257232154678,0.9653183519607552,0.9674354726716848,0.9238358008073678,0.980322630700619,0.9775076446669153,0.9441949459738703
MULTIFORM,0.9372738465224307,0.9386364136174074,0.8599867786065719,0.9491031156444708,0.9529066843830617,0.8995694097155695,0.9659962423232696,0.9660829086248981,0.9199416133655919
MULTIFORM,0.920056425935134,0.9220627841660772,0.8609075010424355,0.932857663925679,0.9409542513033861,0.8957254660214099,0.9467936475004751,0.9541994407201294,0.9112951602093645
MULTIFORM,0.9189291365316757,0.9188725376413771,0.8630547640519509,0.9281675713770022,0.9321817364654376,0.8969558385729071,0.9359236631253833,0.9465328716060706,0.9089558860647826
MULTIFORM,0.9299257854077837,0.9321300838949181,0.8715779390434683,0.9439901477235019,0.948912703159953,0.9071762128024539,0.9643432796584102,0.9636555843887425,0.9253612933477716
MULTIFORM,0.9341559005986649,0.9369650696007359,0.8692031301718536,0.949386374800587,0.9545414262591555,0.9066389268240487,0.9720074555352466,0.9685883026240174,0.9269067810125536
MULTIFORM,0.9325278523694391,0.9321395038445939,0.8734906391201016,0.9377592297314508,0.9412138723053471,0.9097376163957241,0.9425047938029837,0.9522631440108794,0.9208095553596779
MULTIFORM,0.9396416523075196,0.9426860932290513,0.85984178302598,0.9559742963820411,0.9602602548738505,0.89998625641389,0.9806041000143083,0.9739513356915177,0.9239326041517018
MULTIFORM,0.9408245824474046,0.9412973465036067,0.869923219593151,0.9464967182613748,0.9519843885963851,0.909869841415286,0.9530052538000989,0.9613082573304201,0.9243783880926667
MULTIFORM,0.9391539317520687,0.9398454200298534,0.8798226633672398,0.9465858561637027,0.9505550847149679,0.916770628319012,0.9582178496312652,0.9622939433722187,0.9316301464408485
MULTIFORM,0.9385166442070495,0.939449968443869,0.8773014093142436,0.9463938995459777,0.9511443897125309,0.9147683377750113,0.9580994307662737,0.9625498300689678,0.9298114599379868
MULTIFORM,0.9337235352674464,0.9344374163662279,0.8791187645277377,0.938906393911295,0.9457610167738798,0.9145537265354727,0.9443286577014043,0.9553815853276517,0.9252373215512727
MULTIFORM,0.9404981982021995,0.9407905164429838,0.8731075975325238,0.9466841137398121,0.9508636371079531,0.9122612105069897,0.9548662157842888,0.9613630961005122,0.9268235726926893
MULTIFORM,0.9308415192156341,0.933091036306968,0.8649432062575982,0.9418809255220297,0.9498153594352982,0.9024294287800504,0.9554577131476262,0.960797209220242,0.9189563184846279
MULTIFORM,0.9412734119335366,0.9445495525924388,0.8714853411232246,0.9579672970179657,0.9618095385883668,0.9106246250159806,0.9844796100172206,0.975977507357843,0.9332910412151645
MULTIFORM,0.9459976845672253,0.9455283485041551,0.8660520800872007,0.9484789139260701,0.953024586452446,0.9083098321081003,0.9490893874371927,0.9605314886138729,0.9225118976916479
MULTIFORM,0.9448899140402305,0.9477713784959692,0.8702247261013307,0.9615646147646799,0.963855800462575,0.9105449866523604,0.9888381203418702,0.9785165061327293,0.934293076075671
MULTIFORM,0.9607598559759059,0.9605553850795071,0.8719451755763041,0.962183347086535,0.9660877249685716,0.9188718941868295,0.9635510868210208,0.9715367586324971,0.936928011673105
MULTIFORM,0.9540012527040655,0.9539813050831653,0.8835569596786715,0.9573721754657817,0.9606015890567268,0.9258531217983691,0.9636439901440181,0.9688076613538997,0.9415902054373279
MULTIFORM,0.9448393430156684,0.9457343224238697,0.8640594862369391,0.9528524909244381,0.9571955125904558,0.9057705277408842,0.9644084414892944,0.9674475772974757,0.9247225345073533
MULTIFORM,0.9189728495709055,0.9209004614850841,0.8615754461925362,0.9285425970678773,0.9392319289020837,0.896220783376399,0.9354743865758006,0.9493867468184681,0.9079553252958065
