rec_id,lab_id,site_id,horizon,depth_cm,quartz_pct,tot_k_fs_pct,tot_plag_pct,tot_flds_pct,tot_14a_pct,tot_10a_pct,kaolinit_pct,tot_clay_pct,gibbsite_pct,calcite_pct,dolomite_pct,aragon_pct,tot_carb_pct,analcime_pct,heuland_pct,tot_zeol_pct,gypsum_pct,talc_pct,hornbl_pct,serpent_pct,hematite_pct,goethite_pct,pyroxene_pct,pyrite_pct,other_pct,amorph_pct,ag_ppm_q,ag_ppm,al_pct_q,al_pct,as_ppm_q,as_ppm,ba_ppm_q,ba_ppm,be_ppm_q,be_ppm,bi_ppm_q,bi_ppm,c_tot_pct,c_tot_pct_q,c_inorg_pct,c_inorg_pct_q,c_org_pct,c_org_pct_q,ca_pct_q,ca_pct,cd_ppm_q,cd_ppm,ce_ppm_q,ce_ppm,co_ppm_q,co_ppm,cr_ppm_q,cr_ppm,cs_ppm_q,cs_ppm,cu_ppm_q,cu_ppm,fe_pct_q,fe_pct,ga_ppm_q,ga_ppm,hg_ppm_q,hg_ppm,in_ppm_q,in_ppm,k_pct_q,k_pct,la_ppm_q,la_ppm,li_ppm_q,li_ppm,mg_pct_q,mg_pct,mn_ppm_q,mn_ppm,mo_ppm_q,mo_ppm,na_pct_q,na_pct,nb_ppm_q,nb_ppm,ni_ppm_q,ni_ppm,p_ppm_q,p_ppm,pb_ppm_q,pb_ppm,rb_ppm_q,rb_ppm,s_pct_q,s_pct,sb_ppm_q,sb_ppm,sc_ppm_q,sc_ppm,se_ppm_q,se_ppm,sn_ppm_q,sn_ppm,sr_ppm_q,sr_ppm,te_ppm_q,te_ppm,th_ppm_q,th_ppm,ti_pct_q,ti_pct,tl_ppm_q,tl_ppm,u_ppm_q,u_ppm,v_ppm_q,v_ppm,w_ppm_q,w_ppm,y_ppm_q,y_ppm,zn_ppm_q,zn_ppm,
11,C-329056,2144,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,0.98,,3.1,,147,,0.5,,0.08,,,,,,,,0.12,<0.1,,,96.3,,1.6,,8,<5,,,2.7,,0.3,,2.76,,0.01,<0.02,,,0.37,,47.9,,5,,0.08,,121,,0.44,,0.03,,5.3,,2.4,,380,,16.4,,20.1,<0.01,,,0.15,,1,<0.2,,,1.6,,20,<0.1,,,15.2,,0.25,,0.1,,2.9,,12,,0.3,,11.2,,36
12,C-328811,2336,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,0.89,,2.6,,45,,0.2,,0.08,,,,,,,<0.01,,<0.1,,,94.8,,0.8,,12,<5,,,2.2,,0.56,,2.64,,0.02,<0.02,,,0.11,,45.4,,6,,0.03,,76,,0.51,<0.01,,,2,,3.1,,250,,7,,10.9,<0.01,,,0.13,,1.5,<0.2,,,0.3,,6.3,<0.1,,,17.9,,0.29,<0.1,,,2.9,,15,,0.1,,8.2,,12
13,C-329065,2704,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,7.24,,22.4,,405,,2.6,,0.31,,,,,,,,0.06,<0.1,,,254,,6.2,,30,<5,,,20.9,,3.3,,22.9,,0.07,,0.07,,1.62,,117,,23,,0.16,,478,,1.07,,0.21,,9.1,,9.1,,650,,23.9,,107,,0.02,,0.42,,10.1,,0.7,,1.9,,49.7,<0.1,,,19.6,,0.23,,0.6,,2.7,,47,,0.7,,13.7,,27
14,C-328992,2768,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.43,,1.9,,92,,0.4,,0.1,,,,,,,,0.52,<0.1,,,55.2,,2,,12,<5,,,5.2,,0.66,,5.05,,0.04,<0.02,,,0.17,,27.7,,7,,0.26,,269,,0.41,,0.01,,6.7,,3.7,,630,,12.4,,17.1,,0.02,,0.2,,1.9,<0.2,,,1,,15.5,<0.1,,,10.4,,0.17,,0.1,,1.6,,16,,0.4,,6.2,,18
15,C-328803,2848,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,6.7,,17.4,,226,,1.6,,0.35,,,,,,,,0.25,,0.2,,89.9,,14.6,,119,<5,,,16.9,,3.61,,17.5,,0.05,,0.08,,0.69,,38.6,,85,,0.36,,685,,1.68,,0.08,,19.5,,28.1,,720,,30.6,,63,,0.03,,1.07,,11.3,,0.9,,2.6,,48.6,<0.1,,,14.6,,0.52,,0.6,,4,,101,,1.2,,16.8,,83
16,C-329057,2960,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.35,,2,,50,,0.1,,0.08,,,,,,,,0.02,<0.1,,,29.7,,1.3,,16,<5,,,6.5,,0.55,,4.28,,0.05,<0.02,,,0.08,,13.2,,8,,0.03,,228,,0.31,<0.01,,,0.3,,3.7,,80,,10.4,,7.4,,0.01,,0.05,,1.8,,0.3,,0.3,,7.2,<0.1,,,4.9,,0.26,<0.1,,,0.5,,18,<0.1,,,4.2,,9
17,C-328990,3052,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,3.02,,6.1,,276,,1.1,,0.36,,,,,,,,0.05,<0.1,,,76.4,,13.1,,48,<5,,,11.8,,1.92,,9.1,,0.04,,0.03,,0.68,,29.3,,20,,0.12,,899,,1.33,,0.12,,12.5,,10.6,,510,,21.1,,53.7,,0.02,,0.69,,4.6,,0.5,,1.3,,35.2,<0.1,,,9.5,,0.39,,0.4,,2.9,,50,,1,,14.1,,50
18,C-329052,3168,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,1.31,,1.7,,164,,0.4,,0.1,,,,,,,,0.02,<0.1,,,58.5,,7.9,,19,<5,,,5.3,,0.61,,4.23,,0.05,<0.02,,,0.33,,26.4,,9,,0.04,,209,,0.26,,0.03,,2.9,,4.4,,110,,15.9,,25.4,<0.01,,,0.19,,2,<0.2,,,0.7,,20.2,<0.1,,,7.5,,0.28,,0.2,,1.6,,16,<0.1,,,9,,16
19,C-328870,3472,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,0.92,,1.5,,132,,0.4,,0.07,,,,,,,,0.07,<0.1,,,36.3,,3.7,,7,<5,,,4.3,,0.5,,3.06,,0.02,<0.02,,,0.27,,16.8,,7,,0.04,,127,,0.27,,0.02,,5.2,,4,,170,,7.2,,20.9,<0.01,,,0.17,,1.5,<0.2,,,0.6,,18.4,<0.1,,,4.5,,0.23,,0.1,,1.1,,13,,0.2,,5.8,,18
20,C-329055,3536,,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,,,5.59,,9.1,,389,,1.9,,0.23,,,,,,,,0.1,,0.1,,81.4,,17.7,,41,<5,,,16.4,,3,,17.7,,0.03,,0.05,,1.46,,33.7,,16,,0.13,,653,,0.81,,0.17,,4.1,,15.4,,1080,,31.8,,102,,0.02,,0.39,,9.2,,0.5,,1.6,,41.5,<0.1,,,12.4,,0.13,,0.4,,2.9,,53,,0.3,,8.8,,64
